# Official SEC N-PORT invstOrSec extract for SPSK accession 0002000324-26-003239 as-of 2026-05-31
# columns: name lei title cusip isin maturityDt pctVal valUSD curCd issuerCat assetCat invCountry
DP World Crescent Ltd	N/A	DP World Crescent Ltd	N/A	XS3066663124	2035-05-08	0.8461871869556946	4491768.16	USD	CORP	DBT	KY
Dua Capital Ltd	N/A	Dua Capital Ltd	N/A	XS2339967932	2031-05-11	0.31097656070959145	1650739.5	USD	CORP	DBT	SG
EDO Sukuk Ltd	N/A	EDO Sukuk Ltd	N/A	XS2689095086	2033-09-21	0.5920466219447301	3142728	USD	CORP	DBT	KY
EDO Sukuk Ltd	N/A	EDO Sukuk Ltd	N/A	XS2852997993	2031-07-03	0.4385997379074382	2328194.48	USD	CORP	DBT	KY
EDO Sukuk Ltd	N/A	EDO Sukuk Ltd	N/A	XS3037926865	2036-01-22	0.366084182619875	1943264.21	USD	CORP	DBT	KY
EI Sukuk Co Ltd	N/A	EI Sukuk Co Ltd	N/A	XS2824746544	2029-05-28	0.43960513628001674	2333531.38	USD	CORP	DBT	KY
EI Sukuk Co Ltd	N/A	EI Sukuk Co Ltd	N/A	XS3030374030	2030-03-25	0.41710429847213726	2214091.44	USD	CORP	DBT	KY
EI Sukuk Co Ltd	N/A	EI Sukuk Co Ltd	N/A	XS3185295071	2031-03-23	0.25668148055550605	1362527.96	USD	CORP	DBT	KY
Emaar Sukuk Ltd	N/A	Emaar Sukuk Ltd	G3115SAD9	XS2052469165	2029-09-17	0.25583309078710637	1358024.5	USD	CORP	DBT	KY
Emaar Sukuk Ltd	N/A	Emaar Sukuk Ltd	G3115SAE7	XS2356219084	2031-07-06	0.24851559009982796	1319181.42	USD	CORP	DBT	KY
Equate Sukuk Spc Ltd	N/A	Equate Sukuk Spc Ltd	N/A	XS2829198857	2031-09-05	0.425808621210717	2260296.11	USD	CORP	DBT	AE
ESIC SUKUK LTD	549300TSWFEC4DLPPH77	Esic Sukuk Ltd	ZF7053837	XS2747181613	2029-02-14	0.38209258917974437	2028240.74	USD	CORP	DBT	KY
Fab Sukuk Co Ltd	N/A	Fab Sukuk Co Ltd	N/A	XS2576361195	2028-01-17	0.26357314174695745	1399110.58	USD	CORP	DBT	KY
Fab Sukuk Co Ltd	N/A	Fab Sukuk Co Ltd	N/A	XS2747271018	2029-01-23	0.45799319225186713	2431139.67	USD	CORP	DBT	KY
Fab Sukuk Co Ltd	N/A	Fab Sukuk Co Ltd	N/A	XS2976350004	2030-01-16	0.34347178061363615	1823232.06	USD	CORP	DBT	KY
Global Sukuk Ventures	N/A	Global Sukuk Ventures	N/A	XS3225200420	2035-11-10	1.6340325450561577	8673843.65	USD	NUSS	DBT	QA
ICDPS Sukuk Ltd	N/A	ICDPS Sukuk Ltd	N/A	XS2760670013	2029-02-14	0.2874638459273173	1525928.27	USD	CORP	DBT	KY
ICDPS Sukuk Ltd	N/A	ICDPS Sukuk Ltd	N/A	XS3192974643	2030-10-09	0.29699437219015895	1576518.63	USD	CORP	DBT	KY
Isdb Trust Services NO 2 SARL	N/A	Isdb Trust Services NO 2 SARL	N/A	XS2545634557	2027-10-27	0.5701193372611771	3026332.62	USD	CORP	DBT	LU
Isdb Trust Services NO 2 SARL	N/A	Isdb Trust Services NO 2 SARL	N/A	XS2589321020	2028-03-14	1.1313178941428075	6005311.56	USD	CORP	DBT	LU
Isdb Trust Services NO 2 SARL	N/A	Isdb Trust Services NO 2 SARL	N/A	XS2679288519	2028-10-03	1.1938212497663143	6337094.63	USD	CORP	DBT	LU
Isdb Trust Services NO 2 SARL	N/A	Isdb Trust Services NO 2 SARL	N/A	XS2817911170	2029-05-15	1.1218880395875719	5955255.59	USD	CORP	DBT	LU
Isdb Trust Services NO 2 SARL	N/A	Isdb Trust Services NO 2 SARL	N/A	XS2907959071	2029-10-15	0.6937247791183232	3682460.48	USD	CORP	DBT	LU
